SaleID,Product_id,Customer_id,Units_sold,SaleDate,BuyerType,year
11,32,87,4,"Monday, May 29, 2023",User,2023
62,32,29,4,"Wednesday, September 27, 2023",User,2023
100,32,20,4,"Tuesday, April 18, 2023",User,2023
195,32,140,4,"Friday, October 6, 2023",User,2023
850,32,30,4,"Friday, December 15, 2023",User,2023
1132,32,200,4,"Thursday, December 28, 2023",User,2023
1135,32,120,4,"Sunday, September 24, 2023",User,2023
1389,32,126,4,"Sunday, March 12, 2023",User,2023
1570,32,28,4,"Saturday, March 25, 2023",User,2023
1789,32,32,4,"Friday, February 10, 2023",User,2023
1918,32,195,4,"Saturday, July 15, 2023",User,2023
1930,32,186,4,"Thursday, June 22, 2023",User,2023
2086,32,194,4,"Wednesday, February 8, 2023",User,2023
2286,32,56,4,"Monday, December 18, 2023",User,2023
2406,32,76,4,"Tuesday, November 14, 2023",User,2023
2433,32,200,4,"Sunday, January 8, 2023",User,2023
2644,32,32,4,"Thursday, November 2, 2023",User,2023
2721,32,21,4,"Wednesday, March 8, 2023",User,2023
2803,32,66,4,"Saturday, September 2, 2023",User,2023
3136,32,87,4,"Thursday, March 30, 2023",User,2023
3352,32,162,4,"Monday, February 27, 2023",User,2023
4019,32,2,4,"Sunday, April 2, 2023",User,2023
4414,32,154,4,"Thursday, June 1, 2023",User,2023
4485,32,103,4,"Sunday, September 3, 2023",User,2023
4729,32,152,4,"Monday, December 4, 2023",User,2023
4799,32,186,4,"Thursday, April 13, 2023",User,2023
4806,32,78,4,"Wednesday, June 21, 2023",User,2023
4869,32,178,4,"Monday, June 12, 2023",User,2023
5278,32,186,4,"Friday, November 10, 2023",User,2023
5428,32,195,4,"Thursday, July 20, 2023",User,2023
5565,32,122,4,"Tuesday, April 4, 2023",User,2023
5874,32,61,4,"Saturday, September 30, 2023",User,2023
6393,32,100,4,"Saturday, April 15, 2023",User,2023
6537,32,127,4,"Saturday, February 18, 2023",User,2023
6649,32,96,4,"Tuesday, June 27, 2023",User,2023
6654,32,46,4,"Wednesday, September 20, 2023",User,2023
6742,32,82,4,"Friday, November 17, 2023",User,2023
6760,32,27,4,"Monday, February 13, 2023",User,2023
6819,32,148,4,"Wednesday, September 13, 2023",User,2023
6825,32,11,4,"Tuesday, April 25, 2023",User,2023
6836,32,43,4,"Sunday, April 16, 2023",User,2023
6934,32,146,4,"Tuesday, October 24, 2023",User,2023
7019,32,56,4,"Wednesday, August 9, 2023",User,2023
7083,32,135,4,"Tuesday, May 2, 2023",User,2023
7213,32,147,4,"Monday, July 10, 2023",User,2023
7318,32,9,4,"Monday, June 26, 2023",User,2023
7719,32,9,4,"Sunday, July 2, 2023",User,2023
7818,32,69,4,"Sunday, August 27, 2023",User,2023
8002,32,88,4,"Thursday, November 23, 2023",User,2023
8015,32,156,4,"Saturday, December 30, 2023",User,2023
8020,32,109,4,"Sunday, January 29, 2023",User,2023
8061,32,191,4,"Sunday, February 5, 2023",User,2023
8070,32,118,4,"Sunday, April 23, 2023",User,2023
8110,32,111,4,"Monday, April 3, 2023",User,2023
8198,32,16,4,"Tuesday, July 25, 2023",User,2023
8277,32,163,4,"Thursday, June 1, 2023",User,2023
8342,32,111,4,"Thursday, March 9, 2023",User,2023
8803,32,150,4,"Friday, May 19, 2023",User,2023
8861,32,182,4,"Tuesday, October 31, 2023",User,2023
8983,32,117,4,"Saturday, January 21, 2023",User,2023
9584,32,183,4,"Saturday, September 9, 2023",User,2023
9698,32,191,4,"Monday, January 23, 2023",User,2023
9779,32,25,4,"Tuesday, November 21, 2023",User,2023
9810,32,103,4,"Tuesday, October 3, 2023",User,2023
9874,32,48,4,"Monday, March 20, 2023",User,2023
